progress_total,panas_negative,stress_total,partno,realtime
23,15,1,dc990a2ce52ba0b2d2d766e43c5071d6,0
23,15,1,dc990a2ce52ba0b2d2d766e43c5071d6,1
25,14,1,dc990a2ce52ba0b2d2d766e43c5071d6,1.99000000000524
26,14,1,dc990a2ce52ba0b2d2d766e43c5071d6,2.99000000000524
25,16,1,dc990a2ce52ba0b2d2d766e43c5071d6,3.9800000000032
30,15,1,dc990a2ce52ba0b2d2d766e43c5071d6,4.99000000000524
24,18,1,dc990a2ce52ba0b2d2d766e43c5071d6,5.99000000000524
26,16,1,dc990a2ce52ba0b2d2d766e43c5071d6,7.01000000000204
26,15,2,dc990a2ce52ba0b2d2d766e43c5071d6,8
28,17,1,dc990a2ce52ba0b2d2d766e43c5071d6,8.9800000000032
27,17,1,dc990a2ce52ba0b2d2d766e43c5071d6,9.99000000000524
27,16,1,dc990a2ce52ba0b2d2d766e43c5071d6,10.9900000000052
24,21,1,dc990a2ce52ba0b2d2d766e43c5071d6,11.9800000000032
30,18,1,dc990a2ce52ba0b2d2d766e43c5071d6,13
18,12,1,978ab3ec30a08bfd9baec0a9d13b9408,0
18,12,1,978ab3ec30a08bfd9baec0a9d13b9408,1.02999999999884
17,18,1,978ab3ec30a08bfd9baec0a9d13b9408,2.01000000000204
18,18,1,978ab3ec30a08bfd9baec0a9d13b9408,3.0199999999968
17,22,1,978ab3ec30a08bfd9baec0a9d13b9408,4.01000000000204
15,17,1,978ab3ec30a08bfd9baec0a9d13b9408,5.01000000000204
15,27,1,978ab3ec30a08bfd9baec0a9d13b9408,6.11000000000058
17,20,1,978ab3ec30a08bfd9baec0a9d13b9408,7.04000000000087
16,24,1,978ab3ec30a08bfd9baec0a9d13b9408,8.13999999999942
17,17,1,978ab3ec30a08bfd9baec0a9d13b9408,9
19,16,1,978ab3ec30a08bfd9baec0a9d13b9408,10.1200000000026
19,25,1,978ab3ec30a08bfd9baec0a9d13b9408,11.1299999999974
20,18,1,978ab3ec30a08bfd9baec0a9d13b9408,12.1900000000023
14,35,1,978ab3ec30a08bfd9baec0a9d13b9408,13.0199999999968
,,0,978ab3ec30a08bfd9baec0a9d13b9408,13
21,19,1,690932590fe28b33f710309ee64db72a,0
18,16,1,690932590fe28b33f710309ee64db72a,1
19,14,1,690932590fe28b33f710309ee64db72a,2
20,14,1,690932590fe28b33f710309ee64db72a,4.05999999999767
16,20,1,690932590fe28b33f710309ee64db72a,5.11000000000058
17,21,1,690932590fe28b33f710309ee64db72a,6.08999999999651
17,15,1,690932590fe28b33f710309ee64db72a,7
16,17,1,690932590fe28b33f710309ee64db72a,8.09999999999855
18,23,1,690932590fe28b33f710309ee64db72a,9.0199999999968
17,23,1,690932590fe28b33f710309ee64db72a,10.0299999999988
